Number: 901	hong kong econom singapor 
Number: 901 Q0 XIE19960430.0151 1 24.328506469726562 MYRUN
Number: 901 Q0 XIE19970628.0069 2 24.103792190551758 MYRUN
Number: 901 Q0 XIE19970630.0179 3 24.029678344726562 MYRUN
Number: 901 Q0 NYT19981126.0152 4 24.029098510742188 MYRUN
Number: 901 Q0 XIE19970624.0023 5 23.966733932495117 MYRUN
Number: 901 Q0 XIE19960611.0075 6 23.751907348632812 MYRUN
Number: 901 Q0 XIE19960514.0138 7 23.252197265625 MYRUN
Number: 901 Q0 XIE19960611.0233 8 23.244943618774414 MYRUN
Number: 901 Q0 XIE19960611.0014 9 23.149826049804688 MYRUN
Number: 901 Q0 XIE19970621.0096 10 22.477130889892578 MYRUN
Number: 901 Q0 NYT19981126.0154 11 22.298198699951172 MYRUN
Number: 901 Q0 XIE19960531.0092 12 22.239391326904297 MYRUN
Number: 901 Q0 XIE19970623.0142 13 22.22323226928711 MYRUN
Number: 901 Q0 XIE19970905.0168 14 22.20256233215332 MYRUN
Number: 901 Q0 XIE19970416.0028 15 22.180116653442383 MYRUN
Number: 901 Q0 NYT19981029.0253 16 22.16399383544922 MYRUN
Number: 901 Q0 XIE19970827.0020 17 22.159528732299805 MYRUN
Number: 901 Q0 XIE19971012.0103 18 22.003461837768555 MYRUN
Number: 901 Q0 XIE19970825.0077 19 21.933366775512695 MYRUN
Number: 901 Q0 XIE19970903.0269 20 21.873050689697266 MYRUN
Number: 902	homosexu accept europ 
Number: 902 Q0 XIE19960125.0114 1 14.880809783935547 MYRUN
Number: 902 Q0 NYT19980801.0067 2 14.092333793640137 MYRUN
Number: 902 Q0 NYT19980803.0082 3 14.092333793640137 MYRUN
Number: 902 Q0 NYT19991229.0048 4 13.990274429321289 MYRUN
Number: 902 Q0 NYT19990721.0023 5 13.4773588180542 MYRUN
Number: 902 Q0 NYT20000630.0192 6 13.447535514831543 MYRUN
Number: 902 Q0 NYT20000629.0197 7 13.400125503540039 MYRUN
Number: 902 Q0 NYT20000426.0239 8 12.928548812866211 MYRUN
Number: 902 Q0 NYT19980817.0184 9 12.893733024597168 MYRUN
Number: 902 Q0 NYT19990720.0211 10 12.85738754272461 MYRUN
Number: 902 Q0 NYT20000629.0326 11 12.853307723999023 MYRUN
Number: 902 Q0 NYT20000714.0093 12 12.848162651062012 MYRUN
Number: 902 Q0 NYT19990915.0254 13 12.826728820800781 MYRUN
Number: 902 Q0 NYT20000628.0165 14 12.820460319519043 MYRUN
Number: 902 Q0 NYT19980815.0203 15 12.731715202331543 MYRUN
Number: 902 Q0 NYT19980723.0154 16 12.722806930541992 MYRUN
Number: 902 Q0 NYT20000628.0339 17 12.694329261779785 MYRUN
Number: 902 Q0 NYT20000628.0407 18 12.694329261779785 MYRUN
Number: 902 Q0 NYT19991120.0201 19 12.609637260437012 MYRUN
Number: 902 Q0 NYT19981019.0278 20 12.6085205078125 MYRUN
Number: 903	star trek gener 
Number: 903 Q0 NYT19990818.0204 1 16.02379608154297 MYRUN
Number: 903 Q0 NYT19981211.0121 2 15.622454643249512 MYRUN
Number: 903 Q0 NYT19981210.0136 3 15.406914710998535 MYRUN
Number: 903 Q0 NYT19981216.0102 4 15.406914710998535 MYRUN
Number: 903 Q0 NYT20000501.0161 5 15.026758193969727 MYRUN
Number: 903 Q0 NYT20000501.0166 6 15.026758193969727 MYRUN
Number: 903 Q0 NYT19990521.0096 7 14.81170654296875 MYRUN
Number: 903 Q0 NYT19990317.0258 8 14.763050079345703 MYRUN
Number: 903 Q0 NYT19981211.0073 9 14.723174095153809 MYRUN
Number: 903 Q0 NYT19981216.0126 10 14.7230863571167 MYRUN
Number: 903 Q0 NYT19981210.0132 11 14.621607780456543 MYRUN
Number: 903 Q0 NYT19981211.0074 12 14.289041519165039 MYRUN
Number: 903 Q0 NYT19990520.0209 13 14.146466255187988 MYRUN
Number: 903 Q0 NYT19981210.0405 14 13.989670753479004 MYRUN
Number: 903 Q0 NYT19990120.0207 15 13.843832969665527 MYRUN
Number: 903 Q0 NYT19991201.0008 16 13.78993034362793 MYRUN
Number: 903 Q0 NYT19991201.0016 17 13.78993034362793 MYRUN
Number: 903 Q0 NYT19991201.0021 18 13.78993034362793 MYRUN
Number: 903 Q0 NYT20000630.0388 19 13.743256568908691 MYRUN
Number: 903 Q0 NYT20000726.0182 20 13.693115234375 MYRUN
Number: 904	progress dysphagia 
Number: 904 Q0 XIE19970302.0144 1 6.268838405609131 MYRUN
Number: 904 Q0 XIE19961010.0123 2 6.233965873718262 MYRUN
Number: 904 Q0 XIE19961013.0085 3 6.198866844177246 MYRUN
Number: 904 Q0 XIE19961105.0192 4 6.167421817779541 MYRUN
Number: 904 Q0 XIE19961010.0139 5 6.10371732711792 MYRUN
Number: 904 Q0 XIE19971225.0050 6 6.10371732711792 MYRUN
Number: 904 Q0 XIE19960105.0012 7 6.045793056488037 MYRUN
Number: 904 Q0 XIE19961105.0131 8 6.023719787597656 MYRUN
Number: 904 Q0 XIE19961013.0080 9 6.013744831085205 MYRUN
Number: 904 Q0 XIE19961014.0209 10 5.9890546798706055 MYRUN
Number: 904 Q0 XIE19960831.0169 11 5.943491458892822 MYRUN
Number: 904 Q0 XIE19970812.0272 12 5.943491458892822 MYRUN
Number: 904 Q0 XIE19961018.0132 13 5.920261859893799 MYRUN
Number: 904 Q0 XIE19960502.0073 14 5.920261859893799 MYRUN
Number: 904 Q0 XIE19970814.0104 15 5.920261859893799 MYRUN
Number: 904 Q0 XIE19971102.0071 16 5.920261859893799 MYRUN
Number: 904 Q0 XIE19961010.0138 17 5.907820701599121 MYRUN
Number: 904 Q0 XIE19970110.0135 18 5.89607572555542 MYRUN
Number: 904 Q0 XIE19970429.0008 19 5.89607572555542 MYRUN
Number: 904 Q0 XIE19961010.0117 20 5.8065595626831055 MYRUN


4 queries search time: 0.037083333333333336 min
