Number: 901	hong kong econom singapor 
Number: 901 Q0 XIE19971005.0163 1 0.03470899165089583 MYRUN
Number: 901 Q0 XIE19970903.0223 2 0.025104655504617223 MYRUN
Number: 901 Q0 XIE19960624.0097 3 0.0241258158776973 MYRUN
Number: 901 Q0 NYT19990720.0416 4 0.02328641393047677 MYRUN
Number: 901 Q0 XIE19960125.0130 5 0.02190905257591529 MYRUN
Number: 901 Q0 NYT20000227.0190 6 0.021908105593542036 MYRUN
Number: 901 Q0 XIE19970930.0136 7 0.021879459078514234 MYRUN
Number: 901 Q0 XIE19960805.0145 8 0.021869612337254776 MYRUN
Number: 901 Q0 XIE19960906.0131 9 0.021791156328870007 MYRUN
Number: 901 Q0 XIE19971215.0105 10 0.0217152265125434 MYRUN
Number: 901 Q0 XIE19960627.0128 11 0.02158156693203944 MYRUN
Number: 901 Q0 XIE19971220.0037 12 0.021248044868115486 MYRUN
Number: 901 Q0 XIE19971205.0117 13 0.02120737040862101 MYRUN
Number: 901 Q0 XIE19971118.0184 14 0.02104496395157155 MYRUN
Number: 901 Q0 XIE19971222.0106 15 0.02102089472956839 MYRUN
Number: 901 Q0 XIE19970224.0089 16 0.02098734182497211 MYRUN
Number: 901 Q0 NYT19991230.0346 17 0.02080113288117868 MYRUN
Number: 901 Q0 XIE19960513.0120 18 0.020529902244774027 MYRUN
Number: 901 Q0 XIE19960725.0079 19 0.02050391502674266 MYRUN
Number: 901 Q0 XIE19961029.0067 20 0.020392059846151955 MYRUN
Number: 902	homosexu accept europ 
Number: 902 Q0 XIE19971005.0163 1 0.02592767182050991 MYRUN
Number: 902 Q0 XIE19970903.0223 2 0.0187345720820925 MYRUN
Number: 902 Q0 XIE19960624.0097 3 0.017983510994139452 MYRUN
Number: 902 Q0 NYT19990720.0416 4 0.017394988144242705 MYRUN
Number: 902 Q0 NYT20000227.0190 5 0.016353897785763016 MYRUN
Number: 902 Q0 XIE19960125.0130 6 0.016322837676836795 MYRUN
Number: 902 Q0 XIE19970930.0136 7 0.016300789719596583 MYRUN
Number: 902 Q0 XIE19960805.0145 8 0.016293453630613866 MYRUN
Number: 902 Q0 XIE19960906.0131 9 0.01623500177902422 MYRUN
Number: 902 Q0 XIE19971215.0105 10 0.016186644908019823 MYRUN
Number: 902 Q0 XIE19960627.0128 11 0.016087014348471075 MYRUN
Number: 902 Q0 XIE19971220.0037 12 0.015830369028082207 MYRUN
Number: 902 Q0 XIE19971205.0117 13 0.015808086277106455 MYRUN
Number: 902 Q0 XIE19971118.0184 14 0.015669680966127423 MYRUN
Number: 902 Q0 XIE19971222.0106 15 0.015669086317835337 MYRUN
Number: 902 Q0 XIE19970224.0089 16 0.015644075804957705 MYRUN
Number: 902 Q0 NYT19991230.0346 17 0.015550879645827957 MYRUN
Number: 902 Q0 XIE19960513.0120 18 0.015295333319486272 MYRUN
Number: 902 Q0 XIE19960725.0079 19 0.0152759721380692 MYRUN
Number: 902 Q0 XIE19961029.0067 20 0.015192636998415445 MYRUN
Number: 903	star trek gener 
Number: 903 Q0 XIE19971005.0163 1 0.026135744752721034 MYRUN
Number: 903 Q0 XIE19970903.0223 2 0.018922347188425274 MYRUN
Number: 903 Q0 XIE19960624.0097 3 0.01820513730083405 MYRUN
Number: 903 Q0 NYT19990720.0416 4 0.01753458518226473 MYRUN
Number: 903 Q0 XIE19960125.0130 5 0.01654066695934095 MYRUN
Number: 903 Q0 XIE19970930.0136 6 0.01651832477074211 MYRUN
Number: 903 Q0 XIE19960805.0145 7 0.016510890781196323 MYRUN
Number: 903 Q0 NYT20000227.0190 8 0.016508208021660246 MYRUN
Number: 903 Q0 XIE19960906.0131 9 0.016451658886017146 MYRUN
Number: 903 Q0 XIE19971215.0105 10 0.01638612688514378 MYRUN
Number: 903 Q0 XIE19960627.0128 11 0.016285268492334113 MYRUN
Number: 903 Q0 XIE19971220.0037 12 0.016041626285884666 MYRUN
Number: 903 Q0 XIE19971205.0117 13 0.016002902949926706 MYRUN
Number: 903 Q0 XIE19971118.0184 14 0.01589768726560558 MYRUN
Number: 903 Q0 XIE19971222.0106 15 0.015862189974347813 MYRUN
Number: 903 Q0 XIE19970224.0089 16 0.015836871235362423 MYRUN
